Action,Hour_of_Day,Minutes_of_Hour_of_Day,Win,Profit,Profit_Pct,Outcome
BUY,1,11,0,-0.05,-0.0025,Loss
SELL,8,59,0,-0.01,-0.0005,Loss
SELL,16,1,0,-0.02,-0.0010,Loss
SELL,6,21,1,1.35,0.0701,Win
BUY,16,15,0,-0.02,-0.0010,Loss
BUY,4,26,0,-0.39,-0.0200,Loss
SELL,5,51,0,-0.02,-0.0010,Loss
BUY,15,55,0,-0.36,-0.0184,Loss
BUY,4,57,0,-0.31,-0.0158,Loss
BUY,16,11,0,-0.02,-0.0010,Loss
SELL,4,51,0,-0.01,-0.0005,Loss
SELL,6,5,0,-0.28,-0.0148,Loss
SELL,1,44,0,-0.03,-0.0016,Loss
SELL,11,46,1,1.12,0.0605,Win
BUY,2,34,0,-0.29,-0.0154,Loss
BUY,1,52,0,-0.31,-0.0163,Loss
BUY,14,47,0,-0.32,-0.0168,Loss
BUY,9,25,1,1.15,0.0601,Win
SELL,10,7,0,-0.35,-0.0185,Loss
SELL,1,10,0,-0.38,-0.0202,Loss
BUY,15,24,1,1.24,0.0653,Win
BUY,4,0,1,1.08,0.0568,Win
BUY,1,7,0,-0.31,-0.0161,Loss
SELL,4,4,0,-0.01,-0.0005,Loss
SELL,4,20,1,1.05,0.0557,Win
BUY,1,5,0,-0.47,-0.0246,Loss
SELL,4,10,0,-0.02,-0.0011,Loss
SELL,4,56,0,-0.31,-0.0163,Loss
BUY,3,10,0,-0.31,-0.0162,Loss
SELL,15,14,1,0.91,0.0477,Win
SELL,17,50,0,-0.27,-0.0143,Loss
SELL,0,55,1,0.78,0.0412,Win
BUY,3,47,0,-0.24,-0.0126,Loss
SELL,12,27,1,0.87,0.0458,Win
SELL,14,19,0,-0.27,-0.0144,Loss
BUY,14,48,1,0.92,0.0488,Win
BUY,1,27,0,-0.25,-0.0132,Loss
BUY,1,7,1,0.82,0.0429,Win
BUY,10,25,0,-0.01,-0.0005,Loss
BUY,13,9,0,-0.02,-0.0010,Loss
BUY,5,59,0,-0.02,-0.0010,Loss
SELL,15,56,1,1.28,0.0688,Win
BUY,14,17,1,1.27,0.0674,Win
BUY,3,36,1,1.28,0.0675,Win
SELL,3,13,0,-0.03,-0.0016,Loss
SELL,7,41,0,-0.34,-0.0182,Loss
BUY,16,3,0,-0.41,-0.0219,Loss
SELL,16,45,1,1.26,0.0677,Win
SELL,2,7,0,-0.36,-0.0197,Loss
SELL,7,30,1,0.98,0.0543,Win
SELL,4,53,1,0.96,0.0541,Win
BUY,9,48,0,-0.26,-0.0145,Loss
BUY,10,29,0,-0.01,-0.0006,Loss
BUY,5,17,1,0.98,0.0535,Win
BUY,4,51,0,-0.26,-0.0141,Loss
SELL,10,31,1,1.03,0.0563,Win
SELL,5,39,0,-0.36,-0.0194,Loss
SELL,13,0,0,-0.35,-0.0191,Loss
SELL,12,29,1,0.99,0.0543,Win
BUY,4,23,0,-0.29,-0.0156,Loss
BUY,3,0,0,-0.27,-0.0145,Loss
BUY,2,45,0,-0.28,-0.0148,Loss
SELL,14,11,1,1.01,0.0543,Win
BUY,4,9,0,-0.27,-0.0144,Loss
BUY,16,55,1,0.92,0.0488,Win
BUY,1,7,0,-0.29,-0.0153,Loss
BUY,1,16,0,-0.28,-0.0144,Loss
BUY,1,33,0,-0.25,-0.0128,Loss
SELL,6,38,0,-0.30,-0.0157,Loss
SELL,3,15,1,1.36,0.0744,Win
BUY,7,39,0,-0.02,-0.0011,Loss
SELL,4,23,1,1.16,0.0630,Win
SELL,17,24,0,-0.01,-0.0005,Loss
SELL,1,35,1,1.35,0.0740,Win
BUY,3,0,0,-0.02,-0.0011,Loss
BUY,3,3,1,1.26,0.0683,Win
BUY,1,7,0,-0.36,-0.0192,Loss
SELL,8,18,0,-0.02,-0.0011,Loss
SELL,1,20,0,-0.38,-0.0206,Loss
BUY,15,48,0,-0.02,-0.0011,Loss
BUY,14,2,0,-0.01,-0.0005,Loss
SELL,9,25,1,1.02,0.0552,Win
SELL,3,46,0,-0.31,-0.0169,Loss
BUY,4,25,0,-0.02,-0.0011,Loss
SELL,4,31,0,-0.30,-0.0165,Loss
SELL,13,59,0,-0.01,-0.0006,Loss
SELL,1,7,1,0.94,0.0525,Win
SELL,2,28,0,-0.02,-0.0011,Loss
BUY,8,10,1,0.94,0.0525,Win
BUY,3,44,1,1.00,0.0552,Win
SELL,15,46,1,0.89,0.0496,Win
SELL,13,41,0,-0.30,-0.0168,Loss
SELL,2,19,0,-0.27,-0.0153,Loss
SELL,3,20,1,1.13,0.0657,Win
BUY,1,10,0,-0.41,-0.0236,Loss
SELL,19,37,1,1.21,0.0711,Win
SELL,2,13,1,1.24,0.0733,Win
BUY,1,6,0,-0.04,-0.0023,Loss
BUY,15,34,1,1.30,0.0756,Win
BUY,1,5,0,-0.01,-0.0006,Loss
SELL,4,45,0,-0.33,-0.0192,Loss
SELL,16,2,1,1.13,0.0655,Win
BUY,2,36,0,-0.28,-0.0160,Loss
SELL,9,48,1,1.00,0.0579,Win
SELL,16,4,0,-0.24,-0.0139,Loss
SELL,3,3,0,-0.01,-0.0006,Loss
BUY,5,15,0,-0.02,-0.0012,Loss
SELL,13,30,0,-0.22,-0.0128,Loss
SELL,16,33,1,0.75,0.0436,Win
SELL,5,57,1,0.78,0.0457,Win
SELL,4,47,0,-0.23,-0.0137,Loss
BUY,9,40,1,0.87,0.0507,Win
BUY,18,18,1,0.89,0.0514,Win
BUY,4,5,1,0.87,0.0502,Win
BUY,8,40,1,0.78,0.0447,Win
SELL,16,7,0,-0.01,-0.0006,Loss
SELL,17,35,0,-0.01,-0.0006,Loss
BUY,15,8,1,0.84,0.0480,Win
BUY,12,51,0,-0.27,-0.0153,Loss
SELL,5,33,0,-0.25,-0.0142,Loss
BUY,4,3,0,-0.22,-0.0124,Loss
BUY,4,41,0,-0.25,-0.0139,Loss
SELL,15,20,1,0.81,0.0458,Win
BUY,4,1,0,-0.01,-0.0006,Loss
SELL,3,3,1,0.78,0.0440,Win
BUY,1,44,0,-0.03,-0.0017,Loss
BUY,5,21,0,-0.23,-0.0130,Loss
BUY,17,4,1,0.82,0.0456,Win
SELL,15,31,0,-0.01,-0.0006,Loss
BUY,5,33,1,0.77,0.0431,Win
BUY,6,1,1,0.79,0.0435,Win
BUY,16,3,1,0.85,0.0461,Win
SELL,15,57,1,0.84,0.0459,Win
BUY,16,3,1,0.86,0.0467,Win
SELL,11,50,0,-0.24,-0.0132,Loss
BUY,9,23,1,0.88,0.0481,Win
BUY,1,12,0,-0.34,-0.0184,Loss
SELL,11,46,1,0.86,0.0462,Win
BUY,15,25,1,0.92,0.0488,Win
SELL,4,21,1,0.89,0.0475,Win
BUY,4,0,1,0.86,0.0453,Win
SELL,9,35,0,-0.03,-0.0016,Loss
BUY,4,0,1,0.83,0.0435,Win
BUY,4,36,1,0.74,0.0387,Win
BUY,2,0,0,-0.21,-0.0110,Loss
BUY,3,42,0,-0.02,-0.0011,Loss
SELL,3,12,1,0.80,0.0424,Win
BUY,4,0,0,-0.26,-0.0137,Loss
SELL,1,55,1,0.85,0.0453,Win
SELL,21,0,1,0.86,0.0464,Win
SELL,11,52,0,-0.26,-0.0144,Loss
SELL,22,59,1,1.12,0.0634,Win
BUY,1,25,0,-0.06,-0.0034,Loss
BUY,16,38,0,-0.29,-0.0162,Loss
SELL,7,34,0,-0.04,-0.0023,Loss
SELL,4,33,0,-0.29,-0.0164,Loss
SELL,11,4,1,1.07,0.0604,Win
BUY,5,39,0,-0.01,-0.0006,Loss
BUY,11,22,1,0.98,0.0550,Win
BUY,4,35,0,-0.25,-0.0139,Loss
BUY,10,55,1,0.67,0.0370,Win
BUY,4,59,0,-0.01,-0.0006,Loss
BUY,13,35,0,-0.01,-0.0006,Loss
BUY,8,53,0,-0.25,-0.0137,Loss
SELL,13,46,1,0.75,0.0412,Win
SELL,9,5,0,-0.19,-0.0105,Loss
BUY,4,35,0,-0.19,-0.0105,Loss
SELL,11,10,1,0.68,0.0377,Win
SELL,11,15,1,0.72,0.0401,Win
BUY,2,8,0,-0.19,-0.0105,Loss
BUY,10,25,0,-0.02,-0.0011,Loss
BUY,6,3,0,-0.18,-0.0100,Loss
BUY,2,13,0,-0.26,-0.0144,Loss
SELL,4,30,0,-0.01,-0.0006,Loss
BUY,10,17,0,-0.20,-0.0110,Loss
SELL,16,40,1,0.71,0.0393,Win
SELL,10,16,1,0.64,0.0356,Win
SELL,1,19,1,0.69,0.0392,Win
BUY,13,59,0,-0.27,-0.0155,Loss
BUY,9,32,1,0.94,0.0536,Win
BUY,9,25,0,-0.25,-0.0142,Loss
BUY,1,13,0,-0.31,-0.0174,Loss
BUY,8,36,1,0.99,0.0553,Win
SELL,6,11,1,0.97,0.0546,Win
SELL,1,50,0,-0.34,-0.0191,Loss
BUY,15,14,1,0.98,0.0543,Win
SELL,3,27,0,-0.29,-0.0161,Loss
SELL,15,41,1,0.88,0.0494,Win
BUY,5,34,1,0.74,0.0412,Win
BUY,1,12,0,-0.22,-0.0121,Loss
SELL,16,3,1,0.70,0.0387,Win
BUY,15,47,0,-0.01,-0.0005,Loss
SELL,17,4,1,0.67,0.0370,Win
BUY,15,24,0,-0.02,-0.0011,Loss
SELL,7,30,0,-0.23,-0.0126,Loss
SELL,16,43,0,-0.20,-0.0112,Loss
BUY,8,36,0,-0.20,-0.0111,Loss
SELL,1,5,0,-0.22,-0.0123,Loss
SELL,14,52,1,0.73,0.0409,Win
SELL,1,50,1,0.63,0.0352,Win
SELL,5,23,1,0.79,0.0452,Win
BUY,12,49,0,-0.24,-0.0136,Loss
BUY,21,0,1,0.88,0.0494,Win
SELL,3,39,0,-0.03,-0.0017,Loss
BUY,4,18,1,0.88,0.0501,Win
BUY,17,8,1,0.93,0.0533,Win
BUY,17,34,0,-0.26,-0.0147,Loss
BUY,1,21,0,-0.29,-0.0164,Loss
SELL,10,9,0,-0.04,-0.0023,Loss
BUY,10,20,1,0.85,0.0482,Win
BUY,15,30,1,0.91,0.0515,Win
SELL,1,26,1,0.87,0.0496,Win
BUY,8,30,1,0.86,0.0488,Win
BUY,11,29,0,-0.26,-0.0145,Loss
SELL,10,48,1,0.82,0.0459,Win
SELL,9,6,0,-0.01,-0.0006,Loss
BUY,4,49,1,0.81,0.0457,Win
BUY,15,35,1,0.77,0.0431,Win
BUY,5,9,0,-0.22,-0.0123,Loss
BUY,9,30,1,0.75,0.0419,Win
SELL,16,32,1,0.77,0.0430,Win
SELL,11,35,1,0.79,0.0441,Win
BUY,8,39,0,-0.24,-0.0134,Loss
SELL,2,24,1,0.71,0.0397,Win
BUY,14,33,1,0.72,0.0403,Win
BUY,10,19,0,-0.23,-0.0128,Loss
BUY,1,34,0,-0.27,-0.0148,Loss
BUY,15,33,1,0.85,0.0464,Win
BUY,17,25,0,-0.24,-0.0129,Loss
BUY,15,16,1,0.86,0.0460,Win
BUY,10,55,1,0.85,0.0454,Win
SELL,1,43,0,-0.24,-0.0130,Loss
BUY,2,10,0,-0.23,-0.0123,Loss
SELL,10,24,0,-0.30,-0.0162,Loss
SELL,15,27,0,-0.26,-0.0146,Loss
BUY,5,1,1,0.87,0.0485,Win
SELL,1,8,1,0.88,0.0494,Win
BUY,16,45,1,0.89,0.0495,Win
SELL,10,26,1,0.89,0.0502,Win
BUY,20,30,0,-0.01,-0.0006,Loss
BUY,3,41,0,-0.28,-0.0157,Loss
SELL,15,31,0,-0.25,-0.0141,Loss
BUY,4,2,0,-0.27,-0.0151,Loss
SELL,13,56,0,-0.24,-0.0135,Loss
SELL,8,18,0,-0.25,-0.0141,Loss
SELL,15,21,1,0.71,0.0398,Win
SELL,16,34,1,0.74,0.0419,Win
BUY,1,41,0,-0.03,-0.0017,Loss
BUY,1,49,0,-0.22,-0.0122,Loss
SELL,13,57,1,0.68,0.0379,Win
SELL,17,36,0,-0.19,-0.0106,Loss
BUY,20,26,1,0.66,0.0367,Win
BUY,1,41,0,-0.25,-0.0139,Loss
BUY,3,14,0,-0.18,-0.0099,Loss
