Action,Hour_of_Day,Minutes_of_Hour_of_Day,Win,Profit,Profit_Pct,Outcome
SELL,4,32,1,0.87,0.0455,Win
SELL,4,40,1,0.84,0.0441,Win
BUY,21,24,1,0.89,0.0462,Win
BUY,10,9,1,0.95,0.0491,Win
SELL,9,27,0,-0.26,-0.0135,Loss
BUY,3,59,1,0.90,0.0465,Win
BUY,21,55,0,-0.27,-0.0139,Loss
BUY,1,15,0,-0.24,-0.0123,Loss
SELL,17,48,1,0.91,0.0474,Win
BUY,14,5,0,-0.24,-0.0124,Loss
BUY,1,10,0,-0.24,-0.0123,Loss
SELL,9,35,1,0.98,0.0513,Win
BUY,9,57,0,-0.29,-0.0154,Loss
BUY,15,52,1,1.05,0.0557,Win
SELL,5,25,1,1.04,0.0559,Win
SELL,18,4,0,-0.33,-0.0178,Loss
SELL,15,30,0,-0.33,-0.0178,Loss
SELL,8,31,0,-0.07,-0.0038,Loss
SELL,15,47,1,1.03,0.0563,Win
SELL,4,1,1,1.04,0.0569,Win
BUY,6,5,0,-0.02,-0.0011,Loss
SELL,5,48,0,-0.25,-0.0136,Loss
BUY,14,32,1,0.86,0.0466,Win
SELL,2,0,0,-0.24,-0.0132,Loss
SELL,13,42,0,-0.22,-0.0121,Loss
SELL,5,40,1,0.76,0.0420,Win
SELL,10,16,1,0.74,0.0410,Win
BUY,5,31,0,-0.19,-0.0104,Loss
BUY,2,0,1,0.69,0.0375,Win
BUY,6,14,0,-0.24,-0.0129,Loss
SELL,2,15,0,-0.21,-0.0116,Loss
BUY,15,59,1,0.69,0.0378,Win
BUY,10,1,1,0.74,0.0403,Win
SELL,10,1,1,0.87,0.0459,Win
BUY,8,53,0,-0.27,-0.0140,Loss
SELL,10,6,1,1.18,0.0600,Win
BUY,7,31,1,1.40,0.0707,Win
SELL,1,5,0,-0.41,-0.0208,Loss
SELL,4,9,1,1.46,0.0745,Win
BUY,9,58,0,-0.01,-0.0005,Loss
SELL,1,5,1,1.36,0.0691,Win
BUY,16,42,1,1.34,0.0673,Win
BUY,5,45,0,-0.39,-0.0193,Loss
SELL,5,30,0,-0.33,-0.0164,Loss
BUY,11,24,0,-0.33,-0.0164,Loss
BUY,4,20,1,1.05,0.0523,Win
BUY,11,19,0,-0.28,-0.0138,Loss
SELL,17,8,1,1.04,0.0516,Win
SELL,16,47,0,-0.30,-0.0151,Loss
SELL,9,17,0,-0.02,-0.0010,Loss
SELL,9,28,1,1.17,0.0588,Win
BUY,1,4,1,1.02,0.0512,Win
BUY,16,22,1,1.06,0.0529,Win
SELL,15,44,1,1.08,0.0545,Win
BUY,15,22,0,-0.33,-0.0165,Loss
BUY,17,32,1,1.09,0.0543,Win
BUY,7,7,0,-0.29,-0.0144,Loss
SELL,15,30,1,1.04,0.0512,Win
BUY,13,17,1,1.09,0.0537,Win
BUY,3,5,0,-0.28,-0.0137,Loss
SELL,16,46,1,1.05,0.0519,Win
SELL,4,30,0,-0.28,-0.0139,Loss
SELL,12,1,0,-0.01,-0.0005,Loss
SELL,10,55,0,-0.29,-0.0147,Loss
SELL,3,57,1,0.99,0.0503,Win
SELL,4,17,0,-0.24,-0.0123,Loss
SELL,3,44,0,-0.26,-0.0134,Loss
SELL,6,53,0,-0.01,-0.0005,Loss
BUY,8,53,0,-0.01,-0.0005,Loss
SELL,11,39,0,-0.24,-0.0123,Loss
SELL,1,2,0,-0.26,-0.0133,Loss
BUY,4,13,0,-0.26,-0.0132,Loss
BUY,15,31,1,0.94,0.0477,Win
BUY,15,30,1,0.85,0.0432,Win
SELL,21,6,0,-0.41,-0.0211,Loss
SELL,3,48,0,-0.25,-0.0129,Loss
BUY,4,41,1,0.95,0.0485,Win
SELL,9,52,0,-0.28,-0.0143,Loss
SELL,4,43,0,-0.24,-0.0123,Loss
SELL,15,21,0,-0.24,-0.0124,Loss
SELL,16,11,0,-0.23,-0.0120,Loss
SELL,4,51,1,0.81,0.0424,Win
SELL,2,19,0,-0.29,-0.0151,Loss
SELL,9,43,1,0.77,0.0403,Win
SELL,6,20,0,-0.23,-0.0121,Loss
BUY,16,16,1,0.76,0.0395,Win
BUY,16,12,1,0.69,0.0357,Win
SELL,15,20,1,0.71,0.0371,Win
BUY,6,1,0,-0.21,-0.0109,Loss
BUY,4,38,0,-0.19,-0.0098,Loss
BUY,4,42,0,-0.20,-0.0102,Loss
BUY,5,3,0,-0.21,-0.0107,Loss
SELL,6,29,0,-0.18,-0.0092,Loss
BUY,4,15,0,-0.18,-0.0091,Loss
SELL,10,50,0,-0.02,-0.0010,Loss
SELL,21,12,1,0.70,0.0358,Win
SELL,2,27,0,-0.21,-0.0107,Loss
BUY,1,28,0,-0.21,-0.0107,Loss
BUY,5,0,1,0.62,0.0313,Win
BUY,15,31,1,0.71,0.0362,Win
SELL,15,21,0,-0.26,-0.0133,Loss
SELL,17,12,1,0.87,0.0448,Win
SELL,9,55,0,-0.22,-0.0114,Loss
SELL,15,30,1,0.75,0.0389,Win
SELL,5,0,0,-0.22,-0.0114,Loss
SELL,15,5,0,-0.20,-0.0104,Loss
SELL,1,50,0,-0.20,-0.0105,Loss
SELL,3,41,0,-0.20,-0.0105,Loss
SELL,13,28,0,-0.19,-0.0100,Loss
SELL,21,3,1,0.61,0.0322,Win
SELL,4,34,0,-0.15,-0.0080,Loss
BUY,9,20,1,0.55,0.0290,Win
BUY,18,34,1,0.60,0.0312,Win
BUY,17,0,1,0.56,0.0291,Win
SELL,2,2,0,-0.15,-0.0077,Loss
SELL,4,48,1,0.56,0.0289,Win
SELL,3,47,1,0.56,0.0291,Win
BUY,3,36,1,0.54,0.0281,Win
SELL,2,4,1,0.55,0.0287,Win
SELL,13,35,1,0.52,0.0271,Win
SELL,15,30,1,0.52,0.0273,Win
BUY,4,34,0,-0.14,-0.0073,Loss
BUY,8,53,0,-0.14,-0.0073,Loss
BUY,2,30,0,-0.16,-0.0083,Loss
SELL,4,7,0,-0.14,-0.0073,Loss
SELL,3,25,1,0.46,0.0239,Win
SELL,17,19,1,0.49,0.0255,Win
SELL,3,36,0,-0.14,-0.0073,Loss
SELL,7,8,1,0.56,0.0295,Win
SELL,15,45,1,0.58,0.0310,Win
SELL,1,42,0,-0.30,-0.0162,Loss
SELL,15,38,1,0.67,0.0369,Win
SELL,15,30,1,0.69,0.0381,Win
BUY,3,1,1,0.76,0.0408,Win
BUY,10,40,1,0.88,0.0472,Win
BUY,4,34,1,0.77,0.0410,Win
BUY,12,26,1,0.78,0.0414,Win
BUY,15,20,1,0.90,0.0467,Win
BUY,4,27,1,0.90,0.0466,Win
BUY,20,6,1,0.90,0.0459,Win
BUY,2,31,1,0.99,0.0501,Win
SELL,13,23,0,-0.26,-0.0132,Loss
BUY,16,48,1,1.00,0.0505,Win
BUY,6,44,0,-0.27,-0.0136,Loss
BUY,20,39,1,0.95,0.0477,Win
SELL,2,52,0,-0.30,-0.0152,Loss
BUY,14,30,1,0.91,0.0457,Win
SELL,5,42,1,0.92,0.0464,Win
SELL,1,14,0,-0.28,-0.0142,Loss
SELL,17,23,1,0.82,0.0419,Win
SELL,10,12,1,0.80,0.0411,Win
SELL,14,43,1,0.81,0.0417,Win
BUY,15,30,1,0.81,0.0416,Win
BUY,9,38,0,-0.25,-0.0127,Loss
BUY,16,42,1,0.77,0.0390,Win
BUY,2,48,0,-0.25,-0.0126,Loss
BUY,15,35,1,0.83,0.0415,Win
BUY,2,10,0,-0.27,-0.0135,Loss
BUY,2,52,0,-0.28,-0.0139,Loss
BUY,1,29,0,-0.06,-0.0029,Loss
SELL,15,54,1,0.76,0.0373,Win
BUY,11,29,1,0.80,0.0391,Win
BUY,1,3,1,0.85,0.0410,Win
SELL,16,45,1,1.05,0.0520,Win
BUY,15,38,0,-0.02,-0.0010,Loss
SELL,15,30,1,1.07,0.0530,Win
SELL,9,56,1,1.15,0.0577,Win
SELL,8,11,0,-0.38,-0.0192,Loss
BUY,1,25,0,-0.38,-0.0187,Loss
BUY,16,37,1,1.33,0.0654,Win
BUY,15,40,1,1.21,0.0592,Win
BUY,1,0,1,0.85,0.0415,Win
BUY,11,22,0,-0.26,-0.0126,Loss
BUY,3,34,0,-0.32,-0.0154,Loss
SELL,12,18,1,0.91,0.0441,Win
BUY,7,47,0,-0.24,-0.0116,Loss
SELL,11,44,1,0.88,0.0428,Win
SELL,15,30,1,0.70,0.0344,Win
SELL,13,18,1,0.84,0.0415,Win
SELL,7,48,0,-0.28,-0.0138,Loss
BUY,15,30,1,0.83,0.0407,Win
BUY,12,58,0,-0.24,-0.0117,Loss
SELL,10,34,1,0.91,0.0445,Win
SELL,5,43,0,-0.28,-0.0138,Loss
SELL,8,16,0,-0.37,-0.0183,Loss
BUY,8,53,0,-0.29,-0.0143,Loss
SELL,17,3,0,-0.59,-0.0292,Loss
SELL,15,30,1,0.76,0.0378,Win
BUY,15,30,0,-0.33,-0.0163,Loss
BUY,1,0,0,-0.37,-0.0183,Loss
BUY,9,34,1,0.80,0.0393,Win
BUY,16,38,0,-0.28,-0.0137,Loss
SELL,13,9,0,-0.05,-0.0025,Loss
SELL,8,36,0,-0.01,-0.0005,Loss
BUY,16,43,1,0.80,0.0392,Win
SELL,10,29,1,0.78,0.0384,Win
SELL,12,2,0,-0.21,-0.0104,Loss
SELL,3,15,1,0.86,0.0432,Win
BUY,10,16,0,-0.23,-0.0115,Loss
BUY,17,36,1,0.83,0.0413,Win
BUY,1,0,1,0.70,0.0347,Win
BUY,9,26,0,-0.21,-0.0104,Loss
BUY,5,54,0,-0.22,-0.0108,Loss
BUY,10,5,0,-0.01,-0.0005,Loss
SELL,8,26,0,-0.28,-0.0139,Loss
SELL,8,52,0,-0.20,-0.0099,Loss
BUY,9,37,0,-0.17,-0.0083,Loss
BUY,9,48,0,-0.19,-0.0091,Loss
BUY,10,27,0,-0.01,-0.0005,Loss
BUY,16,32,1,0.82,0.0383,Win
BUY,5,54,0,-0.28,-0.0130,Loss
BUY,10,28,0,-0.02,-0.0009,Loss
SELL,7,44,0,-0.27,-0.0124,Loss
SELL,17,35,0,-0.29,-0.0135,Loss
BUY,16,2,1,0.99,0.0458,Win
BUY,0,9,1,1.00,0.0457,Win
SELL,9,18,0,-0.03,-0.0014,Loss
BUY,11,13,1,0.97,0.0445,Win
BUY,7,43,0,-0.04,-0.0018,Loss
BUY,12,31,1,1.09,0.0481,Win
BUY,1,0,0,-0.01,-0.0004,Loss
BUY,1,23,0,-0.47,-0.0204,Loss
BUY,5,15,1,1.20,0.0515,Win
BUY,10,14,1,1.43,0.0608,Win
SELL,15,30,1,1.46,0.0625,Win
BUY,21,6,0,-0.36,-0.0153,Loss
BUY,1,24,1,1.45,0.0610,Win
SELL,17,6,0,-0.56,-0.0240,Loss
BUY,1,14,1,1.63,0.0683,Win
SELL,19,45,1,1.79,0.0758,Win
BUY,4,21,1,1.71,0.0715,Win
SELL,5,59,1,1.80,0.0759,Win
SELL,4,36,1,1.72,0.0740,Win
BUY,18,1,0,-0.05,-0.0021,Loss
SELL,6,11,0,-0.57,-0.0247,Loss
BUY,10,20,1,1.75,0.0746,Win
SELL,4,0,1,1.76,0.0757,Win
SELL,6,21,0,-0.57,-0.0249,Loss
SELL,16,33,1,1.47,0.0643,Win
BUY,10,39,1,1.55,0.0668,Win
SELL,4,33,0,-0.01,-0.0004,Loss
BUY,15,30,0,-0.37,-0.0159,Loss
BUY,1,8,0,-0.39,-0.0166,Loss
SELL,11,29,1,1.26,0.0537,Win
BUY,6,11,0,-0.37,-0.0157,Loss
BUY,2,14,0,-0.45,-0.0188,Loss
BUY,16,2,0,-0.01,-0.0004,Loss
BUY,1,2,0,-0.02,-0.0008,Loss
SELL,6,27,0,-0.03,-0.0012,Loss
SELL,14,43,0,-0.07,-0.0029,Loss
SELL,4,19,0,-0.04,-0.0017,Loss
SELL,5,29,0,-0.01,-0.0004,Loss
BUY,6,26,0,-0.36,-0.0153,Loss
BUY,16,15,1,1.27,0.0538,Win
SELL,14,53,1,1.29,0.0551,Win
SELL,3,37,0,-0.06,-0.0026,Loss
SELL,7,2,0,-0.38,-0.0164,Loss
BUY,18,14,0,-0.42,-0.0179,Loss
BUY,1,0,0,-0.39,-0.0165,Loss
BUY,3,46,0,-0.01,-0.0004,Loss
BUY,15,20,0,-0.01,-0.0004,Loss
BUY,17,6,1,0.05,0.0022,Win
SELL,4,25,0,-0.50,-0.0216,Loss
SELL,13,25,1,1.34,0.0580,Win
BUY,4,33,1,1.29,0.0552,Win
BUY,8,51,0,-0.37,-0.0156,Loss
BUY,1,0,0,-0.36,-0.0154,Loss
SELL,4,38,1,1.21,0.0523,Win
BUY,15,39,1,0.96,0.0413,Win
SELL,8,30,0,-0.49,-0.0211,Loss
BUY,5,39,0,-0.02,-0.0008,Loss
SELL,18,53,0,-0.06,-0.0026,Loss
SELL,18,21,1,1.09,0.0464,Win
BUY,9,47,0,-0.32,-0.0135,Loss
BUY,14,10,0,-0.01,-0.0004,Loss
BUY,12,22,0,-0.30,-0.0123,Loss
BUY,1,43,0,-0.37,-0.0150,Loss
SELL,21,31,0,-0.33,-0.0135,Loss
SELL,3,0,1,1.21,0.0496,Win
SELL,15,15,0,-0.38,-0.0159,Loss
BUY,14,25,0,-0.37,-0.0153,Loss
BUY,4,14,0,-0.35,-0.0145,Loss
SELL,1,0,0,-0.42,-0.0175,Loss
BUY,1,12,1,1.38,0.0577,Win
BUY,20,1,1,1.37,0.0570,Win
BUY,6,12,0,-0.46,-0.0191,Loss
BUY,4,7,0,-0.37,-0.0151,Loss
SELL,13,56,0,-0.38,-0.0158,Loss
SELL,3,8,0,-0.45,-0.0189,Loss
BUY,14,5,0,-0.03,-0.0012,Loss
BUY,1,1,0,-0.02,-0.0008,Loss
BUY,9,53,0,-0.42,-0.0172,Loss
BUY,1,18,0,-0.42,-0.0170,Loss
SELL,5,31,1,1.55,0.0630,Win
SELL,16,0,1,1.56,0.0640,Win
BUY,14,16,0,-0.43,-0.0174,Loss
BUY,1,1,0,-0.47,-0.0187,Loss
BUY,10,43,1,1.57,0.0626,Win
SELL,17,0,1,1.57,0.0629,Win
SELL,16,21,1,1.48,0.0593,Win
BUY,17,6,0,-0.02,-0.0008,Loss
BUY,10,22,0,-0.34,-0.0135,Loss
SELL,4,48,0,-0.36,-0.0143,Loss
BUY,1,30,0,-0.37,-0.0147,Loss
BUY,20,27,0,-0.34,-0.0134,Loss
SELL,18,6,0,-0.36,-0.0144,Loss
SELL,4,27,0,-0.37,-0.0149,Loss
SELL,11,54,0,-0.41,-0.0166,Loss
BUY,8,50,0,-0.36,-0.0144,Loss
BUY,1,11,0,-0.38,-0.0152,Loss
BUY,2,25,0,-0.34,-0.0135,Loss
BUY,15,41,1,0.90,0.0356,Win
BUY,3,32,0,-0.36,-0.0141,Loss
BUY,5,57,0,-0.34,-0.0131,Loss
SELL,7,39,0,-0.42,-0.0163,Loss
BUY,21,0,0,-0.10,-0.0039,Loss
BUY,8,32,0,-0.39,-0.0150,Loss
BUY,5,36,0,-0.36,-0.0137,Loss
BUY,6,42,1,1.15,0.0437,Win
BUY,5,28,0,-0.35,-0.0131,Loss
BUY,11,41,0,-0.36,-0.0135,Loss
SELL,17,48,0,-0.37,-0.0139,Loss
BUY,16,35,0,-0.49,-0.0184,Loss
SELL,12,10,0,-0.34,-0.0129,Loss
BUY,5,41,0,-0.35,-0.0131,Loss
BUY,15,36,0,-0.35,-0.0133,Loss
BUY,2,19,1,1.19,0.0452,Win
BUY,9,22,1,1.09,0.0410,Win
SELL,7,34,0,-0.31,-0.0117,Loss
BUY,5,0,0,-0.02,-0.0007,Loss
BUY,4,6,1,1.13,0.0419,Win
BUY,1,1,0,-0.01,-0.0004,Loss
BUY,16,34,0,-0.29,-0.0106,Loss
BUY,7,19,0,-0.01,-0.0004,Loss
BUY,20,51,0,-0.36,-0.0131,Loss
BUY,0,25,0,-0.37,-0.0133,Loss
BUY,3,5,0,-0.32,-0.0115,Loss
SELL,1,1,0,-0.54,-0.0198,Loss
SELL,4,35,1,1.15,0.0421,Win
SELL,8,26,1,1.12,0.0411,Win
SELL,3,18,1,1.39,0.0524,Win
BUY,2,20,0,-0.39,-0.0144,Loss
SELL,1,0,0,-0.50,-0.0187,Loss
SELL,7,30,1,1.50,0.0575,Win
SELL,18,34,1,1.55,0.0599,Win
SELL,1,0,0,-0.03,-0.0012,Loss
BUY,2,52,0,-0.01,-0.0004,Loss
BUY,3,0,0,-0.48,-0.0184,Loss
BUY,3,1,1,1.62,0.0614,Win
BUY,2,32,1,1.65,0.0621,Win
BUY,2,18,0,-0.46,-0.0172,Loss
BUY,1,17,0,-0.46,-0.0169,Loss
SELL,1,42,1,1.83,0.0700,Win
BUY,7,30,1,1.67,0.0632,Win
SELL,3,8,1,1.60,0.0609,Win
BUY,4,8,0,-0.10,-0.0038,Loss
SELL,2,43,1,1.50,0.0569,Win
BUY,15,55,0,-0.04,-0.0015,Loss
SELL,15,4,1,1.44,0.0547,Win
SELL,17,41,0,-0.38,-0.0144,Loss
SELL,3,8,1,1.32,0.0503,Win
BUY,1,0,1,1.41,0.0533,Win
BUY,12,52,0,-0.01,-0.0004,Loss
BUY,1,13,0,-0.40,-0.0148,Loss
BUY,2,13,0,-0.43,-0.0158,Loss
SELL,10,57,0,-0.44,-0.0164,Loss
SELL,2,50,1,1.29,0.0488,Win
SELL,10,57,1,1.33,0.0503,Win
SELL,18,49,0,-0.34,-0.0129,Loss
SELL,1,0,0,-0.01,-0.0004,Loss
BUY,17,30,0,-0.03,-0.0011,Loss
BUY,8,42,0,-0.41,-0.0156,Loss
SELL,16,30,1,1.41,0.0539,Win
SELL,10,50,0,-0.44,-0.0168,Loss
BUY,2,44,0,-0.35,-0.0133,Loss
BUY,2,4,0,-0.11,-0.0041,Loss
BUY,14,7,1,1.31,0.0494,Win
BUY,16,13,0,-0.34,-0.0128,Loss
BUY,13,27,1,1.01,0.0378,Win
BUY,8,46,0,-0.30,-0.0112,Loss
SELL,15,42,0,-0.33,-0.0124,Loss
BUY,1,0,0,-0.01,-0.0004,Loss
BUY,1,5,0,-0.55,-0.0204,Loss
SELL,1,21,1,1.03,0.0382,Win
BUY,3,41,1,1.12,0.0413,Win
BUY,2,43,0,-0.33,-0.0120,Loss
SELL,11,36,0,-0.28,-0.0102,Loss
BUY,2,37,0,-0.38,-0.0138,Loss
SELL,7,43,0,-0.30,-0.0109,Loss
BUY,3,1,0,-0.05,-0.0018,Loss
BUY,8,58,0,-0.33,-0.0119,Loss
BUY,2,5,1,1.03,0.0368,Win
SELL,1,24,1,0.98,0.0351,Win
BUY,15,21,1,1.12,0.0396,Win
BUY,2,33,1,1.31,0.0460,Win
SELL,17,0,1,1.25,0.0440,Win
BUY,16,26,1,1.36,0.0473,Win
BUY,8,46,1,1.35,0.0468,Win
BUY,1,2,1,1.33,0.0457,Win
SELL,12,43,1,1.40,0.0486,Win
BUY,2,45,0,-0.65,-0.0223,Loss
BUY,1,20,1,1.50,0.0512,Win
BUY,5,2,0,-0.41,-0.0141,Loss
BUY,3,48,0,-0.06,-0.0020,Loss
BUY,8,7,0,-0.48,-0.0163,Loss
SELL,7,33,0,-0.43,-0.0147,Loss
BUY,14,2,0,-0.01,-0.0003,Loss
SELL,17,17,0,-0.44,-0.0151,Loss
SELL,7,36,1,1.57,0.0543,Win
SELL,5,38,0,-0.44,-0.0153,Loss
BUY,17,21,0,-0.04,-0.0014,Loss
BUY,9,27,1,1.47,0.0508,Win
BUY,18,20,0,-0.44,-0.0150,Loss
SELL,11,54,1,1.48,0.0511,Win
BUY,16,55,1,1.47,0.0502,Win
SELL,19,0,0,-0.01,-0.0003,Loss
SELL,3,4,0,-0.41,-0.0142,Loss
BUY,10,59,1,1.66,0.0568,Win
BUY,3,2,0,-0.04,-0.0014,Loss
BUY,0,1,0,-0.42,-0.0140,Loss
BUY,5,55,0,-0.02,-0.0007,Loss
BUY,2,3,1,1.27,0.0416,Win
SELL,7,42,1,1.13,0.0374,Win
BUY,16,3,0,-0.01,-0.0003,Loss
BUY,4,43,0,-0.01,-0.0003,Loss
BUY,2,9,1,1.37,0.0448,Win
BUY,1,0,1,1.25,0.0405,Win
BUY,3,56,0,-0.41,-0.0131,Loss
BUY,1,7,0,-0.70,-0.0223,Loss
SELL,17,2,0,-0.01,-0.0003,Loss
BUY,3,32,0,-0.65,-0.0210,Loss
BUY,1,0,0,-0.08,-0.0025,Loss
BUY,5,10,0,-0.73,-0.0225,Loss
BUY,1,27,1,2.74,0.0847,Win
BUY,1,5,0,-0.88,-0.0257,Loss
BUY,1,30,0,-0.05,-0.0015,Loss
SELL,11,10,1,3.10,0.0939,Win
SELL,3,20,1,3.13,0.0958,Win
BUY,4,31,0,-1.00,-0.0306,Loss
BUY,1,0,0,-0.92,-0.0276,Loss
SELL,8,54,0,-1.08,-0.0321,Loss
SELL,4,37,0,-0.96,-0.0292,Loss
SELL,1,0,1,3.34,0.1020,Win
SELL,15,13,1,3.05,0.0948,Win
SELL,5,24,1,3.01,0.0950,Win
BUY,1,3,1,3.24,0.1000,Win
SELL,6,0,0,-0.05,-0.0016,Loss
BUY,1,6,0,-0.93,-0.0282,Loss
BUY,3,9,0,-0.05,-0.0015,Loss
BUY,14,49,1,3.04,0.0909,Win
SELL,8,46,1,2.81,0.0846,Win
SELL,23,51,1,2.85,0.0868,Win
BUY,8,44,0,-0.01,-0.0003,Loss
BUY,1,0,1,2.55,0.0754,Win
BUY,12,24,0,-0.63,-0.0186,Loss
SELL,17,2,1,2.29,0.0686,Win
SELL,3,18,0,-0.03,-0.0009,Loss
BUY,14,12,0,-0.01,-0.0003,Loss
BUY,15,30,1,1.99,0.0594,Win
BUY,1,10,0,-0.61,-0.0182,Loss
BUY,3,2,1,2.14,0.0630,Win
BUY,1,10,0,-0.62,-0.0180,Loss
SELL,6,11,0,-0.01,-0.0003,Loss
SELL,22,29,0,-0.08,-0.0024,Loss
SELL,8,52,0,-0.01,-0.0003,Loss
SELL,6,10,1,1.94,0.0579,Win
SELL,2,34,0,-0.03,-0.0009,Loss
BUY,2,10,0,-0.51,-0.0153,Loss
SELL,5,48,0,-0.01,-0.0003,Loss
SELL,1,22,0,-0.08,-0.0025,Loss
BUY,1,45,0,-0.68,-0.0205,Loss
BUY,22,55,0,-0.02,-0.0006,Loss
BUY,1,11,0,-0.51,-0.0152,Loss
SELL,3,11,0,-0.49,-0.0147,Loss
BUY,1,5,1,1.74,0.0521,Win
SELL,5,50,0,-0.50,-0.0152,Loss
BUY,1,7,0,-0.54,-0.0163,Loss
BUY,3,31,1,1.68,0.0504,Win
BUY,1,27,1,1.61,0.0478,Win
SELL,16,26,0,-0.02,-0.0006,Loss
SELL,17,33,0,-0.04,-0.0012,Loss
SELL,15,30,1,1.96,0.0590,Win
BUY,12,8,1,1.53,0.0456,Win
BUY,8,11,0,-0.02,-0.0006,Loss
BUY,2,24,0,-0.02,-0.0006,Loss
BUY,2,13,0,-0.56,-0.0163,Loss
SELL,5,13,0,-0.02,-0.0006,Loss
SELL,11,19,1,1.58,0.0471,Win
SELL,1,54,0,-0.04,-0.0012,Loss
BUY,12,58,0,-0.51,-0.0153,Loss
BUY,15,31,1,1.68,0.0507,Win
BUY,1,5,0,-0.63,-0.0187,Loss
BUY,17,51,0,-0.51,-0.0151,Loss
BUY,9,43,0,-0.58,-0.0171,Loss
SELL,4,7,1,1.65,0.0489,Win
SELL,14,18,0,-0.49,-0.0147,Loss
BUY,10,13,0,-0.45,-0.0134,Loss
BUY,3,23,0,-0.01,-0.0003,Loss
SELL,2,12,1,1.43,0.0429,Win
SELL,17,47,0,-0.57,-0.0171,Loss
SELL,2,51,1,1.47,0.0443,Win
SELL,15,31,0,-0.34,-0.0102,Loss
SELL,2,12,0,-0.46,-0.0137,Loss
BUY,3,19,0,-0.41,-0.0121,Loss
BUY,2,7,0,-0.35,-0.0103,Loss
BUY,16,38,0,-0.06,-0.0018,Loss
BUY,4,58,1,1.23,0.0356,Win
BUY,4,16,1,1.32,0.0378,Win
BUY,3,24,1,1.46,0.0412,Win
SELL,6,10,1,1.50,0.0425,Win
BUY,15,30,1,1.60,0.0449,Win
BUY,10,4,0,-0.47,-0.0131,Loss
BUY,4,35,0,-0.52,-0.0143,Loss
BUY,5,9,0,-0.49,-0.0134,Loss
SELL,4,1,0,-0.03,-0.0008,Loss
BUY,3,57,0,-0.02,-0.0005,Loss
SELL,5,38,0,-0.61,-0.0166,Loss
SELL,9,3,0,-0.49,-0.0134,Loss
BUY,18,17,0,-0.53,-0.0144,Loss
BUY,2,22,0,-0.52,-0.0139,Loss
SELL,19,43,0,-0.03,-0.0008,Loss
BUY,16,8,0,-0.02,-0.0005,Loss
BUY,3,42,0,-0.49,-0.0130,Loss
BUY,3,3,0,-0.54,-0.0141,Loss
BUY,5,5,1,2.07,0.0535,Win
SELL,4,0,0,-0.64,-0.0166,Loss
BUY,1,4,0,-0.64,-0.0164,Loss
BUY,1,11,1,2.24,0.0564,Win
BUY,2,0,0,-0.04,-0.0010,Loss
SELL,19,40,0,-0.09,-0.0023,Loss
BUY,1,1,1,2.43,0.0604,Win
BUY,2,33,1,2.69,0.0653,Win
BUY,4,7,0,-0.85,-0.0203,Loss
BUY,3,21,1,2.87,0.0680,Win
BUY,1,0,1,2.94,0.0679,Win
BUY,22,57,0,-0.04,-0.0009,Loss
SELL,15,14,0,-0.07,-0.0017,Loss
SELL,3,2,1,3.97,0.0973,Win
SELL,11,4,0,-0.07,-0.0017,Loss
